nome,principio_ativo,apresentacao,fonte,status,unidade,atualizado_em,sudoeste,noroeste,caf
Aciclovir comprimido 200mg,Aciclovir,comprimido 200mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Aciclovir creme 50mg/g tubo com 10 g,Aciclovir,creme 50mg/g tubo com 10 g,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ácido acetilsalicílico comprimido 100 mg,Ácido acetilsalicílico,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ácido fólico comprimido 5 mg,Ácido fólico,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ácido Fólico 0,2mg/ml gotas 30ml",Ácido Fólico,"0,2mg/ml gotas 30ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ácido Folínico comprimido 15 mg,Ácido Folínico,comprimido 15 mg,SUS-Assis,disponivel,"SUDOESTE, CAF",2026-07-05,disponivel,em_falta,disponivel
Ácido Valpróico comprimido 250mg,Ácido Valpróico,comprimido 250mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ácido Valpróico comprimido 500mg,Ácido Valpróico,comprimido 500mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ácido Valpróico 50mg/mL solução oral 100mL,Ácido Valpróico,50mg/mL solução oral 100mL,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Albendazol comprimido mastigavel 400 mg,Albendazol,comprimido mastigavel 400 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Albendazol suspensão oral 40 mg/mL, frasco com 10 ml",Albendazol,"suspensão oral 40 mg/mL, frasco com 10 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Alendronato de sódio comprimido 70 mg,Alendronato de sódio,comprimido 70 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Algestona Acetofenida + Enantato de Estradiol 150mg+10mg/ml sol. injetável ampola com 1ml,Algestona Acetofenida + Enantato de Estradiol,150mg+10mg/ml sol. injetável ampola com 1ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE",2026-07-05,disponivel,disponivel,em_falta
Alopurinol comprimido 100 mg,Alopurinol,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Alopurinol comprimido 300 mg,Alopurinol,comprimido 300 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ambroxol , cloridrato de xarope 30mg/5ml, frasco com 120 ml","Ambroxol , cloridrato de","xarope 30mg/5ml, frasco com 120 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Aminofilina comprimido 100 mg,Aminofilina,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Amiodarona, cloridrato de comprimido 100 mg","Amiodarona, cloridrato de",comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Amiodarona, cloridrato de comprimido 200 mg","Amiodarona, cloridrato de",comprimido 200 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Amitriptilina, cloridrato de comprimido 25 mg","Amitriptilina, cloridrato de",comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Amoxicilina + clav. de potássio suspensão oral 50 mg + 12,5 mg/mL, frasco com 100 ml",Amoxicilina + clav. de potássio,"suspensão oral 50 mg + 12,5 mg/mL, frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Amoxicilina + clavulanato de potássio comprimido 500 mg + 125 mg,Amoxicilina + clavulanato de potássio,comprimido 500 mg + 125 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Amoxicilina cápsula ou comprimido 500 mg,Amoxicilina,cápsula ou comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Amoxicilina pó para suspensão oral 50 mg/mL, frasco com 150 ml",Amoxicilina,"pó para suspensão oral 50 mg/mL, frasco com 150 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Anlodipino, besilato de comprimido de 5 mg","Anlodipino, besilato de",comprimido de 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Atenolol comprimido 25 mg,Atenolol,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Atenolol comprimido 50 mg,Atenolol,comprimido 50 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Azitromicina comprimido 500 mg,Azitromicina,comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Azitromicina pó para suspensão oral 40 mg/ml, frasco com 15ml",Azitromicina,"pó para suspensão oral 40 mg/ml, frasco com 15ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Babosa, aloe vera (l.) burm. f., gel ou creme 60g","Babosa, aloe vera (l.) burm. f., gel ou",creme 60g,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Betametasona + Gentamicina creme dermatologico tubo com 30 g,Betametasona + Gentamicina,creme dermatologico tubo com 30 g,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Betametasona creme dermatologico tubo com 30 g,Betametasona,creme dermatologico tubo com 30 g,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Biperideno, cloridrato de comprimido 2 mg","Biperideno, cloridrato de",comprimido 2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Bisacodil, comprimido 5 mg",Bisacodil,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Bisoprolol, fumarato de comprimido 10 mg","Bisoprolol, fumarato de",comprimido 10 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Bisoprolol, fumarato de comprimido 2,5 mg","Bisoprolol, fumarato de","comprimido 2,5 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Bromoprida solução oral 4mg/ml frasco com 20 ml,Bromoprida,solução oral 4mg/ml frasco com 20 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Budenosida aerosol nasal 50 mcg,Budenosida,aerosol nasal 50 mcg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Captopril comprimido 25 mg,Captopril,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Carbamazepina comprimido 200 mg,Carbamazepina,comprimido 200 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Carbamazepina xarope 20 mg/mL, frasco com 100 ml",Carbamazepina,"xarope 20 mg/mL, frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Carbocisteína xarope 20mg/ml, frasco com 100 ml",Carbocisteína,"xarope 20mg/ml, frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Carbonato de cálcio + colecalciferol comp. 1250mg (equivalente a 500mg de Ca++) + 400 UI,Carbonato de cálcio + colecalciferol comp.,1250mg (equivalente a 500mg de Ca++) + 400 UI,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Carbonato de cálcio comprimido 1.250 mg (equivalente a 500mg Ca ++ ),Carbonato de cálcio,comprimido 1.250 mg (equivalente a 500mg Ca ++ ),SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Carbonato de lítio comprimido 300 mg,Carbonato de lítio,comprimido 300 mg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
"Carvedilol comprimido 12,5 mg",Carvedilol,"comprimido 12,5 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Carvedilol comprimido 25 mg,Carvedilol,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Carvedilol comprimido 3,125 mg",Carvedilol,"comprimido 3,125 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Carvedilol comprimido 6,25 mg",Carvedilol,"comprimido 6,25 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Cáscara Sagrada cápsula 75mg,Cáscara Sagrada,cápsula 75mg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Castanha da índia comprimido 100mg,Castanha da índia,comprimido 100mg,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Cefalexina (sódica ou cloridrato) cápsula 500 mg,Cefalexina (sódica ou cloridrato),cápsula 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Cefalexina (sódica ou cloridrato) suspensão oral 50 mg/mL, frasco com 100 ml",Cefalexina (sódica ou cloridrato),"suspensão oral 50 mg/mL, frasco com 100 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Cetoconazol creme 2%, bisnaga com 30 g",Cetoconazol,"creme 2%, bisnaga com 30 g",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ciclobenzaprina, cloridrato de, comprimido 10 mg","Ciclobenzaprina, cloridrato de",comprimido 10 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Cilostazol comprimido 50mg,Cilostazol,comprimido 50mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Cinarizina 75 mg comprimido,Cinarizina,75 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ciprofloxacino + dexametasona colirio frasco com 5 ml,Ciprofloxacino + dexametasona,colirio frasco com 5 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Ciprofloxacino, cloridrato de, comprimido 500 mg","Ciprofloxacino, cloridrato de",comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Claritromicina cápsula ou comprimido 500 mg,Claritromicina,cápsula ou comprimido 500 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clindamicina, cloridrato de cápsula 300 mg","Clindamicina, cloridrato de",cápsula 300 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clomipramina, cloridrato de comprimido 25 mg","Clomipramina, cloridrato de",comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Clonazepam 2 mg comprimido,Clonazepam,2 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clonazepam solução oral 2,5 mg/mL, frasco com 20 ml",Clonazepam,"solução oral 2,5 mg/mL, frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clonidina, cloridrato de, comprimido 0,150 mg","Clonidina, cloridrato de","comprimido 0,150 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clopidogrel, bissulfato de, comprimido 75 mg","Clopidogrel, bissulfato de",comprimido 75 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Cloreto de sódio 0,9% + cloreto de benzalcônio solução nasal, frasco com 30 ml","Cloreto de sódio 0,9% + cloreto de benzalcônio","solução nasal, frasco com 30 ml",SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
"Clorpromazina, cloridrato de comprimido 100 mg","Clorpromazina, cloridrato de",comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clorpromazina, cloridrato de comprimido 25 mg","Clorpromazina, cloridrato de",comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Clorpromazina, cloridrato de solução oral 40 mg/mL, frasco com 20 ml","Clorpromazina, cloridrato de","solução oral 40 mg/mL, frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Colchicina 0,5mg comprimido",Colchicina,"0,5mg comprimido",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Complexo B comprimido,Complexo B,comprimido,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Deltametrina shampoo frasco com 100 ml,Deltametrina,shampoo frasco com 100 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Dexametasona comprimido 4 mg,Dexametasona,comprimido 4 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE",2026-07-05,disponivel,disponivel,em_falta
"Dexametasona creme 0,1%, bisnaga com 10 g",Dexametasona,"creme 0,1%, bisnaga com 10 g",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Dexametasona + neomicina + polimixina B colírio frasco com 5 ml,Dexametasona + neomicina + polimixina B,colírio frasco com 5 ml,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Dexclorfeniramina, maleato de comprimido 2 mg","Dexclorfeniramina, maleato de",comprimido 2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Dexclorfeniramina, maleato de xarope 0,4 mg/mL, frasco com 120 ml","Dexclorfeniramina, maleato de","xarope 0,4 mg/mL, frasco com 120 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Diazepam 10 mg comprimido,Diazepam,10 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Diltiazem 60mg comprimido,Diltiazem,60mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Digoxina comprimido 0,25 mg",Digoxina,"comprimido 0,25 mg",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Dimeticona 75mg/ml solução oral frasco com 10 ml,Dimeticona,75mg/ml solução oral frasco com 10 ml,SUS-Assis,disponivel,NOROESTE,2026-07-05,em_falta,disponivel,em_falta
Dipirona Sódica 500 mg comprimido,Dipirona Sódica,500 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Dipirona Sódica solução oral 500 mg/mL, frasco com 20 ml",Dipirona Sódica,"solução oral 500 mg/mL, frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Domperidona 10 mg comprimidos,Domperidona,10 mg comprimidos,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Domperidona 1mg/ml solução oral frasco com 100 ml,Domperidona,1mg/ml solução oral frasco com 100 ml,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
"Doxasozina, mesilato de, comprimido 2 mg","Doxasozina, mesilato de",comprimido 2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Doxasozina, mesilato de, comprimido 4 mg","Doxasozina, mesilato de",comprimido 4 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Doxiciclina 100 mg comprimido,Doxiciclina,100 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Duloxetina comprimido 30mg,Duloxetina,comprimido 30mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Enalapril, maleato de comprimido 10 mg","Enalapril, maleato de",comprimido 10 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Enalapril, maleato de comprimido 20 mg","Enalapril, maleato de",comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Enalapril, maleato de comprimido 5 mg","Enalapril, maleato de",comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Escitalopram comprimido 10mg,Escitalopram,comprimido 10mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Escopolamina 10 mg comprimido,Escopolamina,10 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Espironolactona comprimido 25 mg,Espironolactona,comprimido 25 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Espironolactona comprimido 50 mg,Espironolactona,comprimido 50 mg,SUS-Assis,disponivel,"SUDOESTE, CAF",2026-07-05,disponivel,em_falta,disponivel
Estriol creme vaginal 1 mg/g bisnaga com 50 g + aplicador,Estriol,creme vaginal 1 mg/g bisnaga com 50 g + aplicador,SUS-Assis,em_falta,,2026-07-05,em_falta,em_falta,em_falta
Fenitoína sódica comprimido 100 mg,Fenitoína sódica,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Fenobarbital comprimido 100 mg,Fenobarbital,comprimido 100 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Fenobarbital solução oral 40 mg/mL , frasco com 20 ml",Fenobarbital,"solução oral 40 mg/mL , frasco com 20 ml",SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Finasterida 5 mg comprimido,Finasterida,5 mg comprimido,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Fluconazol cápsula 150 mg,Fluconazol,cápsula 150 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Fluoxetina, cloridrato de cápsula ou comprimido 20 mg","Fluoxetina, cloridrato de",cápsula ou comprimido 20 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Furosemida comprimido 40 mg,Furosemida,comprimido 40 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Ginkgo biloba (Ginkgo biloba L.) comprimidos 80mg,Ginkgo biloba (Ginkgo biloba L.),comprimidos 80mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Gliclazida - comprimido de liberação controlada 30 mg,Gliclazida -,comprimido de liberação controlada 30 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Gliclazida comprimido de liberação controlada de 60 mg,Gliclazida,comprimido de liberação controlada de 60 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Glimepirida 2 mg,Glimepirida,2 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Glimepirida 4 mg,Glimepirida,4 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
"Guaco, Mikania Glomerata Spreng, Xarope ou Solução Oral 35MG/ML Frasco com 120ML","Guaco, Mikania Glomerata Spreng",Xarope ou Solução Oral 35MG/ML Frasco com 120ML,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
Haloperidol comprimido 5 mg,Haloperidol,comprimido 5 mg,SUS-Assis,disponivel,"SUDOESTE, NOROESTE, CAF",2026-07-05,disponivel,disponivel,disponivel
